"ID","County","ZoneID","pID"
1,"ALBANY",,369
2,"ALLEGANY",,371
3,"BRONX",,372
4,"BROOME",5,373
5,"CATTARAUGUS",,374
6,"CAYUGA",6,1465
7,"CHAUTAUQUA",,375
8,"CHEMUNG",6,376
9,"CHENANGO",5,377
10,"CLINTON",1,378
11,"COLUMBIA",,379
12,"CORTLAND",5,380
13,"DELAWARE",5,381
14,"DUTCHESS",,721
15,"ERIE",,382
16,"ESSEX",1,383
17,"FRANKLIN",1,384
18,"FULTON",,385
19,"GENESEE",,386
20,"GREENE",,387
21,"HAMILTON",,2109
22,"HERKIMER",5,388
23,"JEFFERSON",1,1942
24,"KINGS",,389
25,"LEWIS",,390
26,"LIVINGSTON",,391
27,"MADISON",5,392
28,"MONROE",,393
29,"MONTGOMERY",,394
30,"NASSAU",,395
31,"NEW YORK",,396
32,"NIAGARA",,397
33,"ONEIDA",5,401
34,"ONONDAGA",5,402
35,"ONTARIO",6,1466
36,"ORANGE",,403
37,"ORLEANS",,404
38,"OSWEGO",5,405
39,"OTSEGO",5,406
40,"PUTNAM",,407
41,"QUEENS",,408
42,"RENSSELAER",,409
43,"RICHMOND",,410
44,"ROCKLAND",,411
45,"ST. LAWRENCE",1,420
46,"SARATOGA",,412
47,"SCHENECTADY",,413
48,"SCHOHARIE",,414
49,"SCHUYLER",6,415
50,"SENECA",6,416
51,"STEUBEN",6,421
52,"SUFFOLK",,422
53,"SULLIVAN",,423
54,"TIOGA",6,424
55,"TOMPKINS",6,425
56,"ULSTER",,426
57,"WARREN",,427
58,"WASHINGTON",,428
59,"WAYNE",6,429
60,"WESTCHESTER",,430
61,"WYOMING",,431
62,"YATES",6,432
