"ID","Park","Region","ParksID","type","County","Station","CountyPID","StationPID","ZonePID"
1,"BATTLE ISLAND","Central",762,"P","OSWEGO",3,405,436,5
2,"CHITTENANGO FALLS","Central",801,"P","MADISON",2,392,1274,5
3,"CLARK RESERVATION","Central",802,"P","ONONDAGA",2,402,1274,5
4,"DELTA LAKE","Central",816,"P","ONEIDA",1,401,3109,5
5,"GREEN LAKES STATE PARK","Central",849,"P","ONONDAGA",2,402,1274,5
6,"MINOA LAKES","Central",905,"P","ONONDAGA",2,402,1274,5
7,"OLD ERIE CANAL /Madison Co.","Central",920,"P","MADISON",2,392,1274,5
8,"CANAL LANDING MUSEUM","Central",788,"P","MADISON",2,392,1274,5
9,"PIXLEY FALLS (CLOSED FOR 2010)","Central",929,"P","ONEIDA",2,401,1274,5
10,"SANDY ISLAND BEACH","Central",953,"P","OSWEGO",3,405,436,5
11,"SELKIRK SHORES","Central",959,"P","OSWEGO",3,405,436,5
12,"STATE FAIR MINI PARK","Central",969,"P","ONONDAGA",2,402,1274,5
13,"VERONA BEACH","Central",984,"P","ONEIDA",1,401,3109,5
14,"FORT ONTARIO HIST.SITE","Central",829,"P","OSWEGO",3,405,436,5
15,"MEXICO POINT MARINE PARK","Central",901,"P","OSWEGO",3,405,436,5
16,"STEUBEN MEMORIAL SITE","Central",971,"P","ONEIDA",1,401,3109,5
17,"ORISKANY BATTLEFIELD SITE","Central",924,"P","ONEIDA",2,401,1274,5
18,"LEHIGH VALLEY RAILROAD","Central",889,"P","MADISON",2,392,1274,5
19,"LORENZO HISTORIC SITE","Central",895,"P","MADISON",2,392,1274,5
20,"McNITT PROPERTY","Central",855,"P","MADISON",2,392,1274,5
21,"BOWMAN LAKE","Central",776,"P","CHENANGO",4,377,437,5
22,"CHENANGO VALLEY","Central",798,"P","BROOME",4,373,437,5
24,"GILBERT LAKE","Central",837,"P","OTSEGO",5,406,1949,5
25,"BETTY & WILBUR DAVIS","Central",994,"P","OTSEGO",5,406,1949,5
26,"GLIMMERGLASS","Central",839,"P","OTSEGO",5,406,1949,5
27,"CANADARAGO MARINE PARK","Central",787,"P","OTSEGO",5,406,1949,5
28,"HYDE HALL HISTORIC SITE","Central",868,"P","OTSEGO",5,406,1949,5
29,"OQUAGA CREEK","Central",922,"P","BROOME",4,373,437,5
30,"HERKIMER HOME HIST. SITE","Central",857,"P","HERKIMER",5,388,1949,5
33,"RIDDELL STATE PARK","Central",941,"P","OTSEGO",5,406,1949,5
3000,"WATER SAFETY COORDINATORS","Central",0,"P","ONONDAGA",2,402,1274,5
3001,"OLD ERIE CANAL /Oneida Co","Central",920,"P","ONEIDA",1,401,3109,5
3002,"OLD ERIE CANAL /Onondaga","Central",920,"P","ONONDAGA",2,402,1274,5
