"Date1","Time1","UnitCalled","SourceCall","Reason","Narrative","Dispatcher","id","Event"
"01/01/2013","00:07","","8C26","OSV","BegXXXX @ 2400","27",25916,
"01/01/2013","00:02","","213","OSV","BegXXXX @ 2400","27",25917,
"01/01/2013","06:47","","390","ISV","YouXXXX @ 0700    8D22","27",25918,
"01/01/2013","07:29","","513","ISV","8b53 0800","18",25920,
"01/01/2013","07:47","","215","ISV","","18",25921,
"01/01/2013","08:10","","246","ISV","8D42","18",25922,
"01/01/2013","08:19","","213","ISV","8C27 8C26 WAS OVER HEATING LAST NIGHT","18",25923,
"01/01/2013","08:39","","8D22","DATA","NY ELR 8655 RTE 31 T/ SULLIVAN BRIDGPORT AREA NEAREST CROSS 298","18",25924,
"01/01/2013","08:40","","8C27","NOTE","213 CHANGING BACK INTO 8C26 SEEMS TO BE RUNNING OK WILL ADVISE IF ANYTHING CHANGES","18",25925,
"01/01/2013","08:41","8D22","JV","DATA RLYD","CID AND CLIC EXP, WILL ADVISE","18",25926,
"01/01/2013","08:44","","8D22","DATA RLYD","DOB? - RELAYED","18",25927,
"01/01/2013","08:52","","8D22","CLR","ISSUED 1 TRACS 1180B T/CICERO RTE 31","18",25928,
"01/01/2013","09:00","","290","ISV","8D75","18",25929,
"01/01/2013","10:47","","213","NOTE","BACK IN 8C27 8C26 RUNNING HOT PARKING IT","18",25930,
"01/01/2013","09:25","","105","NOTE","ENRT CR , CHECKING ON DOG COMPLAINT FROM YESTERDAY","18",25931,
"01/01/2013","10:45","","246","NOTE","IN 8D75 WITH 290 PUT IN SLE IN PARKS","18",25932,
"01/01/2013","11:25","","8C27","ENRT","chenango county cking sled traffic","18",25933,
"01/01/2013","12:12","","8D22","ENRT","5600 RTE 13 NEAR CF TO BACK UP COUNTY WITH ALARM ACTIVATION CALL","18",25934,
"01/01/2013","12:18","","8D22","CLR","ALARM CO CALLED BACK PASS CODE GIVEN - ENRT CF","18",25935,
"01/01/2013","13:30","","8C27","DATA","CK REG  HISTORY MORXXXX, GABRIEL J , SN WITHOUT INSURANCE. WILL ADVISE FURTHER","18",25936,
"01/01/2013","13:57","","549","ISV","8D11","18",25937,
"01/01/2013","13:58","","8C27","CLR","ISSUED 2 VTL 2223.1 & P&R 25.13-4","18",25938,
"01/01/2013","14:07","","8D22","CLR","ISSUED 2 UT50'S TO SN RO BOTH FOR UNREG SN.","18",25940,
"01/01/2013","14:10","","8D75","DATA","NY SN 4200SN PITCHER RD @ FLAT ROCK & OLIN RD T/MONTAGUE.  NY DLIC JOHXXXX, LINXXXX ROXXXX XX/XX/XX","18",25941,
"01/01/2013","14:12","","544","OTHER","LOOKING FOR 390","18",25942,
"01/01/2013","14:13","8D75","JV","DATA RLYD","WARN FAIL TO DISPLAY REG #'S","18",25943,
"01/01/2013","16:25","","8C27","DATA RLYD","V&T COMP NY CXX81XX & RO ISSUED 306B ST RTE 12 T/GREEN 1520-1535HRS","18",25945,
"01/01/2013","17:01","","8C27","DATA","RTE 7 T/ COLESVILLE GRAMMAS COUNTRY CAFÉ OBSERVED 3 SLEDS WITHOUT REG AND ONE WITH REG ON COWEL.  NY SN 9300SN, 1100SN, 6100SN, 3900SN STANDING BY","18",25946,
"01/01/2013","17:02","","8D22","OSV","","18",25947,
"01/01/2013","17:56","","8B53","OSV","","18",25948,
"01/01/2013","18:04","","8C28","OSV","","18",25949,
"01/01/2013","19:04","","290","OSV","","18",25950,
"01/01/2013","18:10","","8C27","DATA","CKING PREVIOUSE REG RUN, RO'S CLAIMING REG ON LINE FAILING TO PRODUCE PAPERWORK. OUT WITH SUBJECTS NOW","18",25951,
"01/01/2013","18:43","","8C27","ISS","7 TOTAL UT 50 2- UNREG/NO INSURANCE ALAN B CARXXXX; 2 - UNREG/NO INSURANCE ALAN B CARXXXX JR; 2 - UNREG/ NO INSURANCE CARXXXX, JAMIE H.; 1 - NO INSURANCE CARXXXX, ALAN C","18",25952,
"01/01/2013","19:17","","8C27","OSV","ARR CV NEED EVENT # FOR OT SHEET, O/S 1930","18",25953,
"01/01/2013","19:22","","213","NOTE","NEED HELP WITH ADJUSTMENT IN PARKS","18",25954,
"01/01/2013","23:37","","8D11","PROP","CR Clear","27",25955,
"01/02/2013","00:05","","8D11","OSV","Sgt RenXXXX @ 2400 @ Res","27",25956,
"01/02/2013","06:48","","390","ISV","YouXXXX @ 0700    8D22      Heading to the academy","27",25957,
"01/02/2013","07:30","","513","ISV","Sgt BenXXXX @ 0800    8B53","27",25958,
"01/02/2013","07:46","","215","ISV","TelXXXX @ 0800      8C28","27",25959,
"01/02/2013","08:02","","246","ISV","Z2, 8D42","12",25960,
"01/02/2013","08:29","","8B53","DATA","CXX2000, 614XXX310, NY 374, T/PLATTSBURGH","12",25961,
"01/02/2013","10:31","","PHN","OTHER","SGT. FISXXXX CKG STATUS OF VOIP RADIO ISSUE","12",25962,
"01/02/2013","11:38","","PHN","OTHER","A ""STEVE"" FROM CUYLER CALLED TO ASK ABOUT HIS RIGHTS AS A LAND OWNER THAT HAS A SM TRAIL CROSSING IT. 6XX-XXX-62XX","12",25963,
"01/02/2013","13:37","","265","ISV","DL, 8D20","12",25964,
"01/02/2013","13:52","","8D42","DATA","AXX3900, NY 12, T/ALEXANDRIA","12",25965,
"01/02/2013","14:49","","544","ISV","8D10","12",25966,
"01/02/2013","15:53","","227","ISV","Z1, 8D40","12",25967,
"01/02/2013","16:02","","383","ISV","Z3, 8B51","12",25968,
"01/02/2013","16:15","8D42","JV","DATA RLYD","","12",25969,
"01/02/2013","16:14","","8D42","DATA","FXX9500","12",25970,
"01/02/2013","16:25","","PH","NOTE","KELLY ADVISING THAT THERE IS A WOMAN CHASING THE MISSING DOG FROM A COUPLE DAYS AGO IS OUT BEHIND THE MAINTENANCE SHOP. 544 NOTIFIED AND ENRT","18",25971,
"01/02/2013","16:55","","PH","NOTE","DISP WESXXXX ADVISING SAW DOG RUNNING DOWN RTE 173 TWORDS CRSP.","18",25972,
"01/02/2013","16:59","","PH","NOTE","CAPT KIRXXXX ROLLING ALBANY PHONES AND COMM UNIT ROLLING PHONES","18",25973,
"01/02/2013","17:03","","8D20","ENRT","C/ROME COURT FOR RELAY","18",25974,
"01/02/2013","17:07","","8D10","CLR","RTE 173 CKING IN PARK AGAIN. ADVISED THERE ARE SEVERAL VEHICLES AND PEOPLE OUT WITHIN THE PARK AND ON RTE 173 LOOKING FOR THE DOG.  544 WILL CHECK IN WITH THE SUBJECTS","18",25975,
"01/02/2013","17:11","","8D10","NOTE","BELIEVE THAT DOG IS IN WOODS ACROSS THE STREET FROM CRSP WILL STAY IN THE AREA WILL ADVISE FURTHER","18",25976,
"01/02/2013","17:15","","8D20","ENRT","OEC C/ROME","18",25977,
"01/02/2013","17:23","","8D10","NOTE","DOG BACK IN CRSP","18",25978,
"01/02/2013","17:23","","8D20","ARR","OEC","18",25979,
"01/02/2013","18:00","","8B53","OSV","","18",25980,
"01/02/2013","18:02","","8C28","OSV","","18",25981,
"01/02/2013","18:05","","PH","OTHER","INQUIRING IF TEST SCORES WERE AVAILABLE YET? ADVISED TO CONTACT CIVIL SERVICE","18",25982,
"01/02/2013","18:41","","8D20","DATA","NY SN 5800SN & 2100SN NC DLIC DAIXXXX, CORY MICXXXX XX/XX/XX @ HIGGINSVILLE RD CROSS OEC T/ VERONA","18",25983,
"01/02/2013","18:50","FL DISPATCH","JV","DATA","CAN RUN DATAS PORTAL IS FROZEN","18",25984,
"01/02/2013","18:51","8D20","JV","NOTE","ADVISED HAVING FL RUN DATA AS PORTAL IS FROZEN","18",25985,
"01/02/2013","18:52","8D20","JV","DATA RLYD","","18",25986,
"01/02/2013","18:57","","8D20","NOTE","HOW MANLY SCOFFS AND WHAT TOWNS","18",25987,
"01/02/2013","19:00","","8D20","CLR","ISSUED 2 UT 50 ONE TO EACH OPERATOR FOR IMPRUDENT SPEED","18",25988,
"01/02/2013","19:26","","8D20","ENRT","VB","18",25989,
"01/02/2013","19:33","","8D20","ARR","VB","18",25990,
"01/02/2013","18:00","","8D42","OSV","","18",25991,
"01/02/2013","21:00","ALL","JV","STATUS","544 265 383 227","18",25993,
"01/02/2013","21:35","","PH","NOTE","374 ADJUST PARKS ASSIGNMENTS","18",25994,
"01/02/2013","22:01","ALL","JV","STATUS","544 265 227 383","18",25995,
"01/02/2013","23:02","All","JV","STATUS","265, 544, 227, 383   All Set","27",25996,
"01/02/2013","23:40","","227","NOTE","Needs file 9 for a found digital camera at Whetstone Gulf State park.  Olympus Stylus # 11030   Serial # J5U259999  Color Silver","27",25997,
"01/03/2013","00:00","","8D20","OSV","HarXXXX @ 2400","27",25998,
"01/03/2013","00:00","All","JV","STATUS","544, 227, 383,   All Set","27",25999,
"01/03/2013","01:00","All","JV","STATUS","227, 383    All Set","27",26000,
"01/03/2013","01:14","","8D10","OSV","Sgt MacXXXX @ 0100   @ Res","27",26001,
"01/03/2013","01:56","","8D40","OSV","ClaXXXX @ 0200","27",26002,
"01/03/2013","02:14","","8B51","OSV","LotXXXX @ 0200","27",26003,
"01/03/2013","06:45","","356","ISV","","26",26004,
"01/03/2013","06:45",,"278","ISV",,"26",26005,
"01/03/2013","08:00","","246","ISV","Z2, 8D42","12",26006,
"01/03/2013","08:03","","PHN","OTHER","ALB HQ ROLL, CALL FROM SUBJECT ASKING ABOUT PP EXAM RESULTS","12",26007,
"01/03/2013","08:14",,"534","ISV","8D15","26",26008,
"01/03/2013","09:41","","238","ISV","VB, 8D29","12",26010,
"01/03/2013","10:17","","PHN","OTHER","SGT. EVEXXXX CALLED FOR COMM PHN #","12",26011,
"01/03/2013","10:21","","PHN","OTHER","SAT PHN TEST, OK","12",26012,
"01/03/2013","11:50","","8D70","ENRT","CV WITH SLEDS","12",26013,
"01/03/2013","12:08","","8D29","ENRT","OEC","12",26014,
"01/03/2013","12:59","","8D29","ARR","HQ","12",26015,
"01/03/2013","12:45","","PHN","DATA","MAJOR SMIXXXX NEEDS DALL'S ON MEMBER STAFF","12",26016,
"01/03/2013","14:27","","PHN","OTHER","ALB HQ FORWARDING PHONES, THEY HAVE MEETINGS THIS AFTERNOON","12",26017,
"01/03/2013","14:39","","PHONE","OTHER","CALLER FROM ALBANY, JANET ZUCXXXX, FOR CHIEF, HAS MEETING FROM 1530 TO 1600, OTHERWISE WILL BE FREE TO MEET WITH HIM","26",26018,
"01/03/2013","14:47","","8C26","ARR","LOU'S TO DROP OFF CAR FOR REPAIR","26",26019,
"01/03/2013","15:07","","CAPT KIRXXXX","OTHER","LOOKING FOR ALBANY OFFICE","18",26021,
"01/03/2013","15:20","","PH","OTHER","HANG UP","18",26022,
"01/03/2013","15:54","","JEFF - LOUS","OTHER","CHECKING ON 8C26 INFO","18",26023,
"01/03/2013","15:49","","COMM UNIT","OTHER","ROLLING PHONES","18",26024,
"01/03/2013","15:55","","227","ISV","8D40 630 I/S 8D41","18",26025,
"01/03/2013","16:01","","383","ISV","8B51","18",26026,
"01/03/2013","15:46","","PH","NOTE","Kim MaXXXX VicXXXX with DCJS looking for someone to confirm information on one of our recruits.  She can be reach Monday -Friday 8-4 5XX-XXX-10XX","18",26027,
"01/03/2013","16:32","","Lisa DelXXXX","NOTE","checking in for messages, relayed","18",26028,
"01/03/2013","16:54","","8C27","OSV","","18",26029,
"01/03/2013","17:02","","8D24","OSV","LISA DELXXXX ROLLING ALBANY PHONES","18",26030,
"01/03/2013","17:16","","227","DATA","NY FXX4200, NY VIN 1XXXP3EN1XXX63999 & RO LOOKING FOR NY ADDRESS ON FILE 5 SUBJECT","18",26031,
"01/03/2013","17:35","","313","OSV","1700","18",26032,
"01/03/2013","18:00","","8D42","OSV","","18",26033,
"01/03/2013","19:04","","8D15","OSV","","18",26034,
"01/03/2013","19:39","","8D29","ARR","VB","18",26035,
"01/03/2013","20:00","","8D29","OSV","","18",26036,
"01/03/2013","21:00","ALL","JV","STATUS","227, 383 630 - 8D75 NY EITHER EOR F PW1611 ST RTE 12E @ 180","18",26037,
"01/03/2013","21:05","","8D75","DATA","NY CID 605XXX950","18",26038,
"01/03/2013","21:07","8D75","JV","DATA RLYD","","18",26039,
"01/03/2013","21:20","8D75","JV","STATUS","ISSUING ALL SET INSURANCE COMPANY CONTACTED DOES HAVE INSURANCE ON FILE.  WILL ADVISE WHEN CLR","18",26040,
"01/03/2013","21:30","","8D75","CLR","TICKETS ISSUED","18",26041,
"01/03/2013","22:00","ALL","JV","STATUS","227 630 383 ALL SET","18",26042,
"01/03/2013","23:00","All","JV","STATUS","227, 383, 630    All Set","27",26043,
"01/04/2013","00:00","All","JV","STATUS","630, 227, 383   All Set","27",26044,
