"ID","Location","Zone","ParksID","type","county","station","ZonePID","StationPID","CountyPID"
988,"C/BINGHAMTON","CENTRAL",1535,"C","BROOME","4",5,437,373
989,"C/CORTLAND","CENTRAL",1590,"C","CORTLAND","4",5,437,380
990,"C/FULTON","CENTRAL",1637,"C","OSWEGO","3",5,436,405
991,"C/LITTLE FALLS","CENTRAL",2420,"C","HERKIMER","5",5,1949,388
992,"C/NORWICH","CENTRAL",1771,"C","CHENANGO","4",5,437,377
993,"C/ONEIDA","CENTRAL",1002,"C","MADISON","2",5,1274,392
994,"C/ONEONTA","CENTRAL",2609,"C","OTSEGO","5",5,1949,406
995,"C/OSWEGO","CENTRAL",1003,"C","OSWEGO","3",5,436,405
996,"C/ROME","CENTRAL",1004,"C","ONEIDA","1",5,3109,401
997,"C/SHERRILL","CENTRAL",1955,"C","ONEIDA","1",5,3109,401
998,"C/SYRACUSE","CENTRAL",2563,"C","ONONDAGA","2",5,1274,402
999,"C/UTICA","CENTRAL",1956,"C","ONEIDA","1",5,3109,401
1000,"V/NEWPORT","CENTRAL",1764,"V","HERKIMER","5",5,1949,388
1001,"T/NEWPORT","CENTRAL",2421,"T","HERKIMER","5",5,1949,388
1002,"T/AFTON","CENTRAL",2268,"T","CHENANGO","4",5,437,377
1003,"T/ALBION","CENTRAL",1505,"T","OSWEGO","3",5,436,405
1004,"T/AMBOY","CENTRAL",1511,"T","OSWEGO","3",5,436,405
1005,"T/ANDES","CENTRAL",1513,"T","DELAWARE","5",5,1949,381
1006,"T/ANNSVILLE","CENTRAL",1514,"T","ONEIDA","1",5,3109,401
1007,"T/AUGUSTA","CENTRAL",1520,"T","ONEIDA","1",5,3109,401
1008,"T/AVA","CENTRAL",1522,"T","ONEIDA","1",5,3109,401
1009,"T/BAINBRIDGE","CENTRAL",1525,"T","CHENANGO","4",5,437,377
1010,"T/BARKER","CENTRAL",1528,"T","BROOME","4",5,437,373
1011,"T/BINGHAMTON","CENTRAL",1534,"T","BROOME","4",5,437,373
1012,"T/BOONVILLE","CENTRAL",1055,"T","ONEIDA","1",5,3109,401
1013,"T/BOVINA","CENTRAL",1538,"T","DELAWARE","5",5,1949,381
1014,"T/BOYLSTON","CENTRAL",1539,"T","OSWEGO","3",5,436,405
1015,"T/BRIDGEWATER","CENTRAL",1542,"T","ONEIDA","1",5,3109,401
1016,"T/BROOKFIELD","CENTRAL",1546,"T","MADISON","2",5,1274,392
1017,"T/BURLINGTON","CENTRAL",1550,"T","OTSEGO","5",5,1949,406
1018,"T/BUTTERNUTS","CENTRAL",1551,"T","OTSEGO","5",5,1949,406
1019,"T/CAMDEN","CENTRAL",1554,"T","ONEIDA","1",5,3109,401
1020,"T/CAMILLUS","CENTRAL",1556,"T","ONONDAGA","2",5,1274,402
1021,"T/CAZENOVIA","CENTRAL",1065,"T","MADISON","2",5,1274,392
1022,"T/CHENANGO","CENTRAL",1565,"T","BROOME","4",5,437,373
1023,"T/CHERRY VALLEY","CENTRAL",1567,"T","OTSEGO","5",5,1949,406
1024,"T/CICERO","CENTRAL",1568,"T","ONONDAGA","2",5,1274,402
1025,"T/CINCINNATUS","CENTRAL",1536,"T","CORTLAND","4",5,437,380
1026,"T/CLAY","CENTRAL",1574,"T","ONONDAGA","2",5,1274,402
1027,"T/COLCHESTER","CENTRAL",1579,"T","DELAWARE","5",5,1949,381
1028,"T/COLESVILLE","CENTRAL",1583,"T","BROOME","4",5,437,373
1029,"T/COLUMBIA","CENTRAL",1584,"T","HERKIMER","5",5,1949,388
1030,"T/COLUMBUS","CENTRAL",1585,"T","CHENANGO","4",5,437,377
1031,"T/CONKLIN","CENTRAL",1587,"T","BROOME","4",5,437,373
1032,"T/CONSTANTIA","CENTRAL",1074,"T","OSWEGO","3",5,436,405
1033,"T/CORTLANDVILLE","CENTRAL",1591,"T","CORTLAND","4",5,437,380
1034,"T/COVENTRY","CENTRAL",1592,"T","CHENANGO","4",5,437,377
1035,"T/CUYLER","CENTRAL",1595,"T","CORTLAND","4",5,437,380
1036,"T/DANUBE","CENTRAL",1084,"T","HERKIMER","5",5,1949,388
1037,"T/DAVENPORT","CENTRAL",1597,"T","DELAWARE","5",5,1949,381
1038,"T/DECATUR","CENTRAL",1598,"T","OTSEGO","5",5,1949,406
1039,"T/DEERFIELD","CENTRAL",1599,"T","ONEIDA","1",5,3109,401
1040,"T/DELHI","CENTRAL",1601,"T","DELAWARE","5",5,1949,381
1041,"T/DEPOSIT","CENTRAL",1605,"T","DELAWARE","5",5,1949,381
1042,"T/DERUYTER","CENTRAL",2466,"T","MADISON","2",5,1274,392
1043,"T/DEWITT","CENTRAL",1086,"T","ONONDAGA","2",5,1274,402
1044,"T/DICKINSON","CENTRAL",1610,"T","BROOME","4",5,437,373
1045,"T/EATON","CENTRAL",1616,"T","MADISON","2",5,1274,392
1046,"T/EDMESTON","CENTRAL",1617,"T","OTSEGO","5",5,1949,406
1047,"T/ELBRIDGE","CENTRAL",1619,"T","ONONDAGA","2",5,1274,402
1048,"T/EXETER","CENTRAL",1621,"T","OTSEGO","5",5,1949,406
1049,"T/FABIUS","CENTRAL",1622,"T","ONONDAGA","2",5,1274,402
1050,"T/FAIRFIELD","CENTRAL",1624,"T","HERKIMER","5",5,1949,388
1051,"T/FENNER","CENTRAL",1094,"T","MADISON","2",5,1274,392
1052,"T/FENTON","CENTRAL",1095,"T","BROOME","4",5,437,373
1053,"T/FLORENCE","CENTRAL",1628,"T","ONEIDA","1",5,3109,401
1054,"T/FLOYD","CENTRAL",1629,"T","ONEIDA","1",5,3109,401
1055,"T/FORESTPORT","CENTRAL",1630,"T","ONEIDA","1",5,3109,401
1056,"T/FRANKFORT","CENTRAL",1633,"T","HERKIMER","5",5,1949,388
1057,"T/FRANKLIN","CENTRAL",2366,"T","DELAWARE","5",5,1949,381
1058,"T/FREETOWN","CENTRAL",1636,"T","CORTLAND","4",5,437,380
1059,"T/GEDDES","CENTRAL",1101,"T","ONONDAGA","2",5,1274,402
1060,"T/GEORGETOWN","CENTRAL",1642,"T","MADISON","2",5,1274,392
1061,"T/GERMAN","CENTRAL",1643,"T","CHENANGO","4",5,437,377
1062,"T/GERMAN FLATTS","CENTRAL",1644,"T","HERKIMER","5",5,1949,388
1063,"T/GRANBY","CENTRAL",1105,"T","OSWEGO","3",5,436,405
1064,"T/GREENE","CENTRAL",1652,"T","CHENANGO","4",5,437,377
1065,"T/GUILFORD","CENTRAL",1656,"T","CHENANGO","4",5,437,377
1066,"T/HAMDEN","CENTRAL",1657,"T","DELAWARE","5",5,1949,381
1067,"T/HAMILTON","CENTRAL",1658,"T","MADISON","2",5,1274,392
1068,"T/HANCOCK","CENTRAL",1660,"T","DELAWARE","5",5,1949,381
1069,"T/HANNIBAL","CENTRAL",1662,"T","OSWEGO","3",5,436,405
1070,"T/HARFORD","CENTRAL",1663,"T","CORTLAND","4",5,437,380
1071,"T/HARPERSFIELD","CENTRAL",1664,"T","DELAWARE","5",5,1949,381
1072,"T/HARTWICK","CENTRAL",1666,"T","OTSEGO","5",5,1949,406
1073,"T/HASTINGS","CENTRAL",1667,"T","OSWEGO","3",5,436,405
1074,"T/HERKIMER","CENTRAL",1670,"T","HERKIMER","5",5,1949,388
1075,"T/HOMER","CENTRAL",1678,"T","CORTLAND","4",5,437,380
1076,"T/KIRKLAND","CENTRAL",1693,"T","ONEIDA","1",5,3109,401
1077,"T/KIRKWOOD","CENTRAL",1694,"T","BROOME","4",5,437,373
1078,"T/KORTRIGHT","CENTRAL",1126,"T","DELAWARE","5",5,1949,381
1079,"T/LAFAYETTE","CENTRAL",1695,"T","ONONDAGA","2",5,1274,402
1080,"T/LAPEER","CENTRAL",1696,"T","CORTLAND","4",5,437,380
1081,"T/LAURENS","CENTRAL",1129,"T","OTSEGO","5",5,1949,406
1082,"T/LEBANON","CENTRAL",1699,"T","MADISON","2",5,1274,392
1083,"T/LEE","CENTRAL",1700,"T","ONEIDA","1",5,3109,401
1084,"T/LENOX","CENTRAL",1132,"T","MADISON","2",5,1274,392
1085,"T/LINCKLAEN","CENTRAL",1703,"T","CHENANGO","4",5,437,377
1086,"T/LINCOLN","CENTRAL",1134,"T","MADISON","2",5,1274,392
1087,"T/LISLE","CENTRAL",1704,"T","BROOME","4",5,437,373
1088,"T/LITCHFIELD","CENTRAL",1705,"T","HERKIMER","5",5,1949,388
1089,"T/LITTLE FALLS","CENTRAL",1706,"T","HERKIMER","5",5,1949,388
1090,"T/LYSANDER","CENTRAL",1712,"T","ONONDAGA","2",5,1274,402
1091,"T/MADISON","CENTRAL",1714,"T","MADISON","2",5,1274,392
1092,"T/MAINE","CENTRAL",1717,"T","BROOME","4",5,437,373
1093,"T/MANHEIM","CENTRAL",1720,"T","HERKIMER","5",5,1949,388
1094,"T/MANLIUS","CENTRAL",1143,"T","ONONDAGA","2",5,1274,402
1095,"T/MARATHON","CENTRAL",1722,"T","CORTLAND","4",5,437,380
1096,"T/MARCELLUS","CENTRAL",1724,"T","ONONDAGA","2",5,1274,402
1097,"T/MARCY","CENTRAL",1725,"T","ONEIDA","1",5,3109,401
1098,"T/MARSHALL","CENTRAL",1727,"T","ONEIDA","1",5,3109,401
1099,"T/MARYLAND","CENTRAL",1144,"T","OTSEGO","5",5,1949,406
1100,"T/MASONVILLE","CENTRAL",1145,"T","DELAWARE","5",5,1949,381
1101,"T/MCDONOUGH","CENTRAL",1147,"T","CHENANGO","4",5,437,377
1102,"T/MEREDITH","CENTRAL",1732,"T","DELAWARE","5",5,1949,381
1103,"T/MEXICO","CENTRAL",1148,"T","OSWEGO","3",5,436,405
1104,"T/MIDDLEFIELD","CENTRAL",1735,"T","OTSEGO","5",5,1949,406
1105,"T/MIDDLETOWN","CENTRAL",1736,"T","DELAWARE","5",5,1949,381
1106,"T/MILFORD","CENTRAL",1149,"T","OTSEGO","5",5,1949,406
1107,"T/MINETTO","CENTRAL",1742,"T","OSWEGO","3",5,436,405
