"parksId","address","zipcode","parkName"
762,"2150 St. Rte. 48; Fulton","13069-4132","Battle Island State Golf Course"
776,"745 Bliven-Sherman Rd.; Oxford","13830","Bowman Lake State Park"
787,"135 Dennison Rd.; Richfield Springs","13439","Canadarago Boat Launch"
788,"7010 Lakeport Rd.; Chittenango","13037","Canal Landing Museum"
798,"153 State Park Rd.; Chenango Forks","13746","Chenango Valley State Park"
801,"2300 Rathbun Rd.; Cazenovia","13035-9601","Chittenango Falls State Park"
802,"6105 E. Seneca Tpk.; Jamesville","13078","Clark Reservation State Park"
816,"8797 St. Rte. 46; Rome","13440","Delta Lake State Park"
829,"1 East Fourth St.; Oswego","13126","Fort Ontario State Historic Site"
837,"18 CCC Rd.; Laurens","13796","Gilbert Lake State Park"
839,"1527 County Hwy. 31; Cooperstown","13326","Glimmerglass State Park"
849,"7900 Green Lakes Rd.; Fayetteville","13066-9658","Green Lakes State Park"
855,"5133 E. Lake Rd.; Cazenovia","13035-9601","McNitt Property"
857,"200 St. Rte. 169; Little Falls","13365","Herkimer Home State Historic Site"
868,"267 Glimmerglass State Park Rd.; Cooperstown","13326","Hyde Hall State Historic Site"
875,"1415 Burroughs Memorial Rd.; Roxbury","12474","John Burroughs Memorial State Historic Site"
889,"Oxbow Rd.; Lenox",,"Lehigh Valley Railroad"
895,"17 Rippleton Rd.; Cazenovia","13035-9601","Lorenzo State Historic Site"
901,"245 County Rte. 48; Mexico","13114","Mexico Point Boat Launch"
905,"Minoa Rd.; Minoa","13116","Minoa Lakes"
922,"5995 County Hwy. 20; Bainbridge","13733","Oquaga Creek State Park"
924,"7801 St. Rte. 69; Oriskany","13424","Oriskany Battlefield State Historic Site"
929,"11430 St. Rte. 46; Boonville","13309","Pixley Falls State Park"
941,"125 Riddell Rd.; Maryland","12116","Robert Riddell State Park"
953,"3387 County Rte. 15; Pulaski","13142","Sandy Island Beach State Park"
959,"7101 St. Rte. 3; Pulaski","13142","Selkirk Shores State Park"
971,"9941 Star Hill Rd.; Remsen","13438","Steuben Memorial State Historic Site"
984,"6541 Lakeshore Rd. S.; Verona Beach","13162-0245","Verona Beach State Park"
994,"135 Davis Rd.; Westford","13488","Betty and Wilbur Davis State Park"
