"ID","State","StateFull"
1,"AL","ALABAMA"
2,"AK","ALASKA"
3,"AB","ALBERTA"
4,"AM","AMERICAN SAMOA"
5,"AZ","ARIZONA"
6,"AR","ARKANSAS"
7,"BC","BRITISH COLUMBIA"
8,"CA","CALIFORNIA"
9,"CO","COLORADO"
10,"CT","CONNECTICUT"
11,"DE","DELAWARE"
12,"DC","DISTRICT OF COLUMBIA"
13,"FL","FLORIDA"
14,"GA","GEORGIA"
15,"HI","HAWAII"
16,"ID","IDAHO"
17,"IL","ILLINOIS"
18,"IN","INDIANA"
19,"IA","IOWA"
20,"KS","KANSAS"
21,"KY","KENTUCKY"
22,"LA","LOUISIANA"
23,"ME","MAINE"
24,"MB","MANITOBA"
25,"MD","MARYLAND"
26,"MA","MASSACHUSETTS"
27,"MI","MICHIGAN"
28,"MN","MINNESOTA"
29,"MS","MISSISSIPPI"
30,"MO","MISSOURI"
31,"MT","MONTANA"
32,"XN","NAMAVUT PROVIDENCE"
33,"NA","NATIONAL INSURANCE CRIME BUREAU"
34,"VS","NATIONAL VEHICLE SERVICE"
35,"NB","NEBRASKA"
36,"NV","NEVADA"
37,"NK","NEW BRUNSWICK"
38,"NH","NEW HAMPSHIRE"
39,"NJ","NEW JERSEY"
40,"NM","NEW MEXICO"
41,"NY","NEW YORK"
42,"NF","NEWFOUNDLAND"
43,"NC","NORTH CAROLINA"
44,"ND","NORTH DAKOTA"
45,"NT","NORTHWEST TERRITORIES"
46,"NS","NOVA SCOTIA"
47,"XN","NUNAVUT"
48,"OH","OHIO"
49,"OK","OKLAHOMA"
50,"ON","ONTARIO"
51,"OR","OREGON"
52,"PA","PENNSYLVANIA"
53,"PE","PRINCE EDWARD ISLAND"
54,"PR","PUERTO RICO"
55,"PQ","QUEBEC"
56,"A1","REGION A - CT, ME, MA, NH, RI, VT"
57,"B1","REGION B - DE, DC, MD, NJ, NY, PA"
58,"C1","REGION C - KY, NC, SC, TN, VA, WV"
59,"D1","REGION D - AL, AR, FL, GA, LA, MS"
60,"E1","REGION E - IL, IN , MI, MO, OH, WI"
61,"F1","REGION F - IA, MN, MT, NB, ND, SD"
62,"G1","REGION G - AZ, CO, KS, NM, OK, TX"
63,"H1","REGION H - AK, CA, HI, ID, NV, OR, WA"
64,"RI","RHODE ISLAND"
65,"SN","SASKATCHEWAN"
66,"SC","SOUTH CAROLINA"
67,"SD","SOUTH DAKOTA"
68,"TN","TENNESSEE"
69,"TX","TEXAS"
70,"UT","UTAH"
71,"VT","VERMONT"
72,"VA","VIRGINIA"
73,"WA","WASHINGTON"
74,"WV","WEST VIRGINIA"
75,"WI","WISCONSIN"
76,"WY","WYOMING"
77,"YT","YUKON"
